F1,F2,F3,F4,F5,F6,F7,F8,F9,RMSD
15927,6062.61,0.38064,131.808,2260865.288,222.346,6279.39,98,21.4247,19.425
5253.91,1917.23,0.36491,36.6466,728099.5067,72.3719,2516.59,8,43.4537,18.294
9036.08,3473.8,0.38443,86.956,1254059.78,124.95,4069.6,43,35.12,8.566
13989.2,4278.01,0.3058,153.752,1914843.579,208.278,5631.61,10,33.3157,5.337
9268.9,3644.78,0.39322,96.0626,1296934.714,146.825,3273.54,94,36.7149,18.896
4390.52,671.38,0.15291,43.5158,594617.1047,60.9313,2568.19,12,43.1653,1.45
6396.75,2109.17,0.32972,64.4799,833819.6971,99.5718,2639.72,27,38.7631,2.903
6099.5,2534.46,0.41551,45.7407,848790.5575,82.8123,2212.03,37,39.4936,9.355
5915.26,1855.78,0.31372,55.4459,811070.7193,84.3491,3200.58,13,39.4094,7.878
13641.7,3672.22,0.26919,186.821,1883836.042,212.284,4579.84,185,29.1308,1.892
8201.73,2865.04,0.34932,70.4354,1161722.339,107.544,3339.72,64,37.238,17.079
7355.24,1512.22,0.20559,75.0114,993282.8538,115.556,3464.68,27,36.6828,0
13117.3,6444.76,0.49131,135.214,1794765.557,231.099,5094.41,140,28.2733,18.481
6888.76,2382.42,0.34584,69.2425,969929.7654,97.2336,3209.68,36,36.8904,4.913
7511.48,1975.72,0.26302,85.9864,1055770.689,114.437,3417.92,38,37.2338,2.862
5945.25,2067.54,0.34776,58.7093,829401.3045,86.5812,3468.26,75,38.0649,1.308
19381.6,5881.5,0.30345,200.191,2687598.34,297.196,6046.82,230,23.0833,7.148
7113.82,2401.32,0.33755,58.5207,991382.5985,93.3787,3096.29,46,38.4703,11.251
25210.5,8648.76,0.34306,190.69,3531460.022,425.786,15340.07,151,25.5013,0.825
14439.9,6664.37,0.46152,161.672,1995348.076,252.705,5609.69,177,24.8632,20.674
9489.2,2632.9,0.27746,76.1758,1304060.823,123.313,4319.72,52,37.0363,15.358
14489.7,5293.09,0.3653,95.5332,1968812.321,207.626,5232.24,146,26.0014,10.22
6443.43,2324.75,0.36079,74.6845,862755.8582,114.332,3399.6,47,37.146,16.571
9763.57,2749.97,0.28165,111.431,1357572.813,171.103,4202.52,52,33.7255,3.092
4753.63,1867.23,0.3928,52.8294,673228.6926,90.8141,2153.8,50,43.3195,13.466
8864.96,1797.52,0.20276,108.601,1202026.89,131.167,4035.59,41,34.2566,2.177
8946.25,2600.19,0.29064,75.657,1241334.734,112.681,4149.97,61,34.5376,2.527
8476.85,3020.54,0.35632,76.504,1152763.232,125.38,3460.52,13,37.3816,13.039
7182.05,2359.8,0.32856,55.8177,973376.0357,101.397,2801.82,19,40.958,10.252
6309.16,1368.9,0.21697,62.6281,872506.15,69.9426,2750.21,33,40.3847,15.72
14819.4,4779.48,0.32251,174.819,2075461.973,243.318,5297.57,146,23.7504,1.966
10101.3,3170.45,0.31386,105.916,1405285.005,131.564,4430.94,47,31.3757,17.288
13179,3998.54,0.3034,149.945,1839480.272,218.111,4690.99,111,29.1008,4.43
8277.16,2452.25,0.29626,90.1924,1114155.986,119.617,4277.58,107,33.2524,3.768
16982.2,4743.63,0.27932,183.555,2347319.29,197.328,5738.57,116,25.2664,19.19
9462.94,2141.02,0.22625,111.627,1279553.105,146.12,4079.58,38,34.1076,1.886
5820.5,1928.93,0.3314,55.9336,802673.5573,79.2056,3160.55,11,39.5384,8.394
9070.43,2113.93,0.23305,108.079,1249834.44,139.433,4026.5,40,33.9976,2.117
6493.69,1705.78,0.26268,52.9662,909941.987,76.9265,3342.87,56,38.6855,2.28
6603.47,2050.3,0.31048,60.1729,899943.9871,88.3253,3236.02,29,38.2353,10.497
14832.6,6164.22,0.41558,82.6568,2003376.432,252.171,20981.17,47,35.1973,3.343
6438.11,1963.9,0.30504,62.1014,882545.325,88.4107,2565.03,19,40.4105,6.093
6387.19,1555.71,0.24356,58.4257,840997.0316,76.1158,3115.79,34,39.6168,5.28
12412.9,2676.14,0.21559,153.787,1704335.96,201.049,5153.37,146,29.7538,0.86
10204.9,3381.03,0.33131,108.207,1431867.006,159.552,3638.29,76,36.0665,9.815
6063.73,2388.49,0.39389,59.2914,857784.1039,85.3898,2693.96,35,40.3893,10.029
12488.8,4041.28,0.32359,117.986,1677721.318,161.42,5160.26,64,33.2032,19.547
23470.2,7193.56,0.30649,300.766,3269017.35,387.7,6382.79,105,17.579,3.753
12467,3952.53,0.31703,120.009,1625878.513,174.196,4684.74,93,33.9687,17.989
7373.54,1850.94,0.25102,72.2748,1035995.401,82.2271,3018.03,21,36.6733,5.832
8569.51,2095.52,0.24453,85.6867,1215084.024,118.469,3889.37,73,34.4689,5.233
14940.9,3689.94,0.24696,184.622,2104849.376,214.553,5713.2,65,22.938,1.182
7677.77,3548.1,0.46212,81.4507,932775.2759,138.648,2316.07,75,40.5953,16.64
15941.1,5573.22,0.34961,156.567,2220699.457,230.304,7932.78,54,25.7623,15.978
8938.94,4149.05,0.46415,92.4123,1281623.668,131.192,3735.31,28,34.3761,10.46
15238.1,4535,0.2976,184.645,2102521.596,248.959,5255.77,93,25.5394,5.148
9880.43,2824.41,0.28585,107.046,1355619.904,136.504,3984.69,36,35.878,9.165
6561.96,1900.04,0.28955,63.9857,908399.8364,86.6121,3896.12,70,37.5316,3.055
5503.56,1323.03,0.24039,44.6948,786838.387,58.5922,2418.02,12,40.1785,2.195
11862.6,2817.75,0.23753,149.415,1587896.809,179.633,4510.74,60,24.4228,4.312
14262.8,4948.28,0.34693,130.587,2059589.837,200.803,4840.18,125,29.151,4.201
8565.25,1962.18,0.22908,109.253,1201938.6,146.283,4199.49,54,33.5756,2.874
14091.3,5097.66,0.36175,93.4892,1892267.245,203.56,4780.9,114,30.579,11.96
14313.8,4864.14,0.33982,91.8533,1972511.8,192.799,5070.02,149,28.5373,4.428
7635.65,2921.49,0.38261,61.1173,1048506.122,105.709,3839.42,68,37.6294,13.262
9465.28,3017.2,0.31876,74.5875,1332420.015,121.595,3741.08,53,37.4545,18.137
10572.7,3233.1,0.30579,95.8645,1425814.627,161.418,4149.91,148,32.7768,16.424
15047.2,7020.1,0.46653,146.818,2087834.909,249.015,4369.72,101,30.2627,19.628
19377.1,6378.16,0.32915,251.838,2673543.031,318.066,5476.33,79,23.3446,3.886
9416.38,3637.32,0.38627,95.3281,1335252.92,149.767,3866.18,90,35.4438,12.32
9053.62,2140.44,0.23641,86.9486,1288339.679,108.191,4592.65,28,33.5188,2.281
7258.6,1383.35,0.19058,60.1399,1016992.519,76.4939,3446.44,47,37.7726,5.532
6627.94,2782.23,0.41977,62.1561,954949.3657,94.2195,2404.72,67,40.4961,8.943
17836.1,5278.61,0.29595,158.42,2512040.579,253.024,5574.37,196,22.1107,3.693
4236.27,1376.4,0.3249,35.0902,576542.2839,54.2159,1426.57,34,44.3511,11.733
4838.86,1692.92,0.34985,46.3231,700043.1802,73.4881,2464.66,53,42.0444,12.456
8319,2654.18,0.31905,63.0818,1187976.545,104.285,4248.88,45,37.8182,11.683
7511.85,1688.14,0.22473,86.303,1046228.329,104.778,3840.11,25,36.2923,1.516
9482.44,2722.6,0.28712,102.246,1313907.541,129.849,3869.28,14,33.9961,2.212
14465.7,4985.91,0.34467,102.038,1969329.743,200.921,5037.19,146,27.7611,6.577
8077.33,1955.89,0.24214,69.5043,1134998.645,102.856,3542.57,16,36.7329,13.561
9253.84,2652.01,0.28658,100.135,1266476.129,160.321,4149.07,72,33.192,0.556
9054.19,3110.39,0.34353,100.999,1252553.576,145.086,3905.01,34,33.7522,10.503
11171.3,4172.41,0.37349,111.065,1650162.626,154.318,4549.79,72,31.1566,2.993
7735.44,1706.44,0.2206,73.5278,1097281.645,104.053,3952.37,49,35.0952,0
5228.85,1610.46,0.30799,48.6731,747852.3998,54.9062,1993.13,3,42.392,5.331
5941.69,1608.25,0.27067,59.8822,802172.2225,78.5753,3188.62,36,39.2894,6.237
9897.86,3043.84,0.30752,90.1432,1377066.186,124.172,3530.74,65,35.5621,13.336
15505.2,5366.03,0.34607,163.5,2198535.64,229.896,5903.91,152,26.7838,8.588
8428.96,2058.58,0.24422,96.4205,1194829.678,119.74,3806.6,56,35.1576,4.027
5709.34,1421.13,0.24891,52.3057,789879.8074,82.9841,2645.72,33,40.838,5.298
6724.16,1799.22,0.26757,61.7573,922185.232,92.2208,3265.8,25,38.0097,17.583
13614.3,3796.36,0.27885,172.157,1879564.335,197.959,5100.57,64,26.6874,2.073
14036.1,4798.67,0.34188,199.948,1971735.575,229.154,4878.21,141,23.0604,19.205
11638.1,4583.39,0.39382,132.548,1603413.79,181.688,4621.89,90,29.3328,13.988
12874.5,4174.61,0.32425,153.051,1768452.793,196.773,4558.93,45,30.4081,3.805
6488.31,1968.19,0.30334,58.0428,850979.0102,87.7534,2672.19,42,39.1787,3.132
19195.5,6411.46,0.334,201.013,2565705.502,301.331,5596.76,177,23.3663,3.058
7649.47,2421.72,0.31658,64.3883,1098224.719,93.0226,3787.69,46,38.4719,11.934
8134.82,3106.02,0.38181,69.7501,1146484.35,114.279,3311.01,30,37.2873,18.823
9068.27,1995.18,0.22001,96.7449,1281607.009,130.622,3854.62,48,34.9438,3.05
9543.45,2234.61,0.23415,111.864,1324950.244,132.213,4221.34,56,34.3281,2.159
6981.89,2188.04,0.31338,63.4287,966942.0505,101.125,3509.9,59,37.3867,13.335
8779.59,3421.12,0.38966,101.734,1253256.058,134.156,4664.17,108,33.8939,15.214
16733.4,6088.38,0.36384,133.856,2382250.023,244.839,6468.15,57,24.3735,8.811
11946,2737.53,0.22915,146.199,1631820.765,198.922,4893.82,138,29.3127,0.842
12664.1,4082.6,0.32237,152.535,1800547.699,210.449,4941.61,75,29.2647,1.625
11837.3,5049.76,0.42659,96.3511,1691186.588,160.48,5165.75,49,37.2482,15.663
14566.9,3309.42,0.22718,182.402,2032596.192,203.438,4063.98,148,32.0099,1.429
8625.69,3417.3,0.39617,73.5595,1231463.939,111.509,3655.45,19,37.9844,11.325
8961.98,3421.6,0.38179,89.8607,1237735.376,143.956,4021.18,34,35.2142,15.929
6612.86,2245.81,0.33961,62.407,922140.961,98.9037,3822.42,73,36.0666,1.815
6570.06,2560.55,0.38973,54.0008,863197.0061,108.933,3450.97,58,34.0708,16.462
6423.19,1188.1,0.18497,54.1855,847714.8902,70.9529,3244.2,40,38.0433,4.342
10551.9,3648.65,0.34578,87.8739,1522562.798,150.498,4785.48,41,32.897,16.226
9306.91,2763.1,0.29688,100.055,1293200.177,134.741,3496.76,120,35.0083,1.866
8573.63,2441.18,0.28473,61.3221,1204334.817,100.48,3057.59,41,36.8556,16.704
16198,5391.66,0.33285,130.407,2298971.803,225.87,5510.17,68,24.9599,11.249
7438.56,2442.88,0.3284,91.5449,1051582.324,99.3233,3452.36,27,36.9505,9.007
5967.66,1103.91,0.18498,52.5181,816963.0989,73.5838,2396.34,25,40.5292,14.695
13942,4074,0.29221,173.422,1982904.391,198.751,4737.9,63,28.5884,3.052
8650.62,2425.01,0.28032,93.6804,1189130.039,113.477,3636.6,39,35.1771,3.17
3375.97,1248.27,0.36975,24.5279,461737.1434,44.7686,1392.54,6,45.2663,6.135
10984.9,2665.08,0.24261,128.471,1488623.977,154.596,3686.64,16,34.564,2.23
8492.7,1958.19,0.23057,68.9086,1217185.495,94.9999,3204.77,72,39.1549,19.755
5208.71,1214.92,0.23324,45.0719,722102.5886,71.2471,2681.78,17,40.4347,3.778
8138.85,2013.88,0.24744,96.6283,1149753.097,101.841,3852.27,89,34.8174,4.711
5964.08,1950.12,0.32697,54.1675,815584.1398,83.6522,3160.93,12,39.5247,7.928
6746.08,1940.55,0.28765,67.9976,944219.3498,83.7765,3678.39,46,37.111,10.496
27671.4,10795,0.39011,268.687,3858804.046,390.84,6353.75,168,23.402,18.975
18210.9,5745.37,0.31549,238.461,2484834.762,318.982,5106.17,152,25.2792,11.022
6128.98,1451.85,0.23688,58.5824,827526.3708,78.7861,3202.84,27,39.0369,6.423
8398.47,2249.84,0.26788,90.9179,1184997.216,123.07,3324.29,5,36.0082,2.415
12211.9,3656.73,0.29943,144.565,1722973.224,164.091,4484.16,120,30.7101,18.162
4214.24,557.34,0.13225,39.7192,573782.0462,45.3279,2214.94,32,42.508,12.872
10243.6,3542.33,0.3458,89.3464,1471456.323,142.423,3634.06,17,34.8223,3.475
9472.53,2244.6,0.23695,101.677,1321527.21,134.816,4228.2,57,34.1433,1.753
9377.46,2104.36,0.2244,96.8279,1317344.856,127.16,3855.91,52,34.8935,3.42
7127.24,2051.3,0.28781,68.4997,955422.7452,101.928,3606.84,85,37.2029,1.836
22638.1,5492.36,0.24261,337.405,3115601.72,400.968,6217.11,155,19.8168,1.112
6537.05,1886.15,0.28853,69.366,935147.8733,81.6642,3159.38,13,39.4065,2.235
8682.58,2348.39,0.27047,98.1656,1221977.877,130.857,3224.91,4,36.9912,0.525
3926.54,1157.77,0.29485,35.0194,534838.3448,50.008,1379.88,32,44.5265,11.219
10286.9,2922.37,0.28408,101.52,1463771.096,146.511,4109.62,53,35.1281,11.794
7343.45,2773.7,0.37771,81.5535,1013734.874,100.215,3356.73,57,38.5808,2.323
6303.94,2044.34,0.32429,36.6719,873947.8034,82.6206,2267.77,22,40.3577,12.184
4707.45,1784.38,0.37905,46.9947,681089.7568,67.6508,2345.3,58,41.3947,11.327
15147.5,5488.1,0.36231,142.337,2096988.26,216.924,4699.81,98,29.1559,17.162
4246.02,1318.58,0.31054,35.6454,588383.8786,50.6559,1406.68,17,44.183,1.396
8232.2,1411.25,0.17143,77.4649,1113050.057,102.051,3314.26,39,38.3958,14.844
6616.94,2182.14,0.32978,57.9753,931694.8721,92.4921,2822.48,42,39.9718,3.301
7912.45,1833.69,0.23174,71.7206,1080240.257,98.1802,3624.56,36,36.033,6.776
5957.05,1748.24,0.29347,43.1966,870833.6701,70.9541,2495.7,25,41.6257,2.249
9339.74,2799.06,0.29969,102.632,1276924.665,136.928,3589.78,120,33.5974,1.662
8655.89,2220.6,0.25654,98.0298,1216529.737,127.111,3774.84,46,34.7488,2.935
7190.75,2802.08,0.38967,64.3859,1055075.183,99.8715,3203.47,29,38.8401,1.009
7719.08,2106.52,0.27289,62.2261,1069262.686,100.651,3401.75,36,37.7466,14.138
13223.7,5870.04,0.4439,129.997,1831284.951,204.903,4888,104,32.1747,18.877
8387.19,2278.04,0.2716,91.7564,1178104.013,109.957,4083.76,125,34.6103,4.951
21862.9,6451.46,0.29508,307.897,2964339.174,314.71,6669.32,290,20.0154,1.561
4754.13,963.74,0.20271,46.3356,665571.0919,60.5912,2785.42,13,42.1188,2.164
14778.4,4963.9,0.33588,141.718,2039977.431,227.069,4136.7,152,30.8605,17.473
7505.08,2298.93,0.30631,78.819,1018824.394,118.945,3106.21,76,38.9252,1.445
9189.4,2166.63,0.23577,82.0928,1313125.749,122.16,3845.67,22,35.6074,3.526
7712.45,2912.02,0.37757,75.0895,1089567.072,102.352,3972.32,35,36.0524,16.055
6321.9,1855.13,0.29344,63.9151,865087.6989,65.0437,3207.91,36,38.5378,11.987
6235.27,1787.24,0.28663,50.4699,882909.2988,91.1659,3307.91,10,38.57,7.824
10728.9,3122.13,0.291,115.096,1482321.848,174.449,3820.22,22,33.3138,3.204
9846.72,2284.11,0.23196,98.98,1356945.411,120.386,4272.36,52,33.4137,7.099
5958,2062.3,0.34613,70.8099,825472.1945,88.2903,3030.17,34,39.2735,1.653
17523.9,4995,0.28503,224.449,2443665.047,278.382,5692.07,199,22.0718,2.128
6812.34,2568.01,0.37696,60.4717,989494.5351,90.1892,3259.48,34,38.9395,0
9695.73,2541.87,0.26216,100.183,1382115.12,152.25,3894.4,41,33.5747,2.056
11139.5,3900.88,0.35018,84.8751,1596337.285,144.338,4908.92,73,34.9302,17.877
8094.96,2372.41,0.29307,81.918,1117757.229,103.785,4400.49,59,33.8533,2.817
7932.62,1994.97,0.25148,69.8073,1110612.199,115.515,3623.06,4,35.7825,0
8579.71,2290.75,0.26699,119.991,1164358.119,130.106,4057.75,111,33.5585,3.043
7016.08,2354.65,0.3356,53.6786,995986.3272,88.663,3344.51,3,40.2953,15.915
5839.74,1658.76,0.28404,58.8301,779812.2483,81.8107,2989.34,37,40.0981,5.808
10607,2738.29,0.25815,130.287,1460329.48,157.268,4824.33,71,29.5595,3.627
7650.22,2418.75,0.31616,70.0034,1040703.426,102.538,3419.04,74,36.8497,3.045
10040.4,2437.71,0.24279,87.9793,1417015.488,129.728,4785.52,28,32.3895,3.891
9477.6,2961.1,0.31243,87.7097,1281181.852,129.155,3888.62,41,35.0208,2.099
13109.3,4629.25,0.35312,127.375,1864371.855,172.726,4887.31,147,29.3633,15.266
4357.76,798.49,0.18323,39.4932,573535.7002,62.5392,2624.54,12,43.4835,2.329
9567.13,2715.47,0.28383,90.2935,1385359.953,125.993,3739.18,75,35.4598,15.9
7852.92,2399.29,0.30552,64.9361,1087675.632,98.7637,3472.04,47,37.2743,8.607
13435.4,5997.24,0.44637,97.827,1879137.573,200.491,3895.12,112,32.7497,18.646
13147,4100.1,0.31186,153.852,1858378.544,214.358,5004.43,76,28.7302,1.426
7994.54,1960.8,0.24526,90.5908,1068702.858,130.362,3416.95,15,37.2435,1.185
7932.81,1998.26,0.25189,68.6431,1079913.985,110.033,3466.68,39,35.4187,4.698
5643.51,1524.53,0.27013,61.2316,713353.0304,87.2559,3103.09,16,35.8947,14.826
13279.2,5970.64,0.44962,171.298,1831913.552,254.768,63609.66,111,31.204,19.876
8983.73,2538.17,0.28252,85.1632,1230019.448,120.196,3850.61,26,34.8366,1.926
8821.12,1500.28,0.17007,77.7086,1191043.007,99.3303,3757.55,39,36.5089,7.486
14993.4,3895.45,0.25981,184.224,2122391.077,217.616,5696.71,69,23.0322,1.249
5003.71,1603.83,0.32052,39.7905,665335.0591,71.8347,3138.33,15,41.7761,9.012
14933.1,4716.58,0.31584,152.903,2070500.916,231.286,5358.54,194,26.3754,1.303
12598,4287.08,0.34029,157.752,1753511.612,216.178,4445.21,151,30.8784,20.546
17616.1,6248,0.35467,131.37,2325485.28,260.737,5229.49,157,25.8162,9.726
8454.76,2114.97,0.25015,56.1939,1180792.99,97.7716,3601.37,27,39.8544,17.395
4380.89,1164.74,0.26586,45.0019,552992.2161,63.9749,2026.36,22,42.8624,2.375
7229.32,2192.61,0.30329,55.335,999123.469,93.4638,3336.69,25,38.2677,12.987
5233.78,1168.13,0.22319,53.475,727935.2732,63.4258,2812.04,17,39.8232,5.562
7383.37,2124.26,0.2877,62.2165,1059770.357,90.9051,2420.26,68,39.9775,14.014
8959.42,3732.93,0.41664,71.8185,1275908.225,133.02,3428.72,21,35.1539,14.307
8224.38,2547.01,0.30969,90.0116,1112973.166,117.026,4274.11,103,33.3403,4.786
9501.27,2682.04,0.28228,99.4986,1297886.033,160.406,4141.77,75,33.2323,0.597
7069.72,2549.7,0.36065,66.2801,973415.5286,134.424,3178.93,44,36.5519,19.471
14302.7,5336.33,0.37309,85.3488,1994687.614,228.008,5772.5,104,28.5364,19.541
13849,4025.42,0.29066,200.833,1927500.074,250.612,5301.93,284,24.9407,1.707
7283.24,2127.19,0.29206,88.7824,1009013.697,106.115,3322.4,27,37.7619,7.719
11572,3859.8,0.33354,145.557,1576695.631,187.1,4800.12,100,29.0516,19.031
9991.02,2293.38,0.22954,97.1939,1380871.32,125.946,4406.82,39,32.7496,2.54
6707.24,2183.14,0.32549,63.5459,906383.6663,100.703,3121.59,18,40.2996,1.62
6373.95,2275.84,0.35705,64.3785,883935.0676,85.7568,3430.13,74,37.0221,14.451
4897.61,1434.99,0.29299,43.6804,691488.5232,65.5956,2524.74,43,42.7808,10.7
8646.41,2574.14,0.29771,52.0932,1173611.711,114.639,3889.6,26,36.0445,14.744
11770.4,2922.4,0.24828,157.325,1621157.034,185.562,4185.27,62,31.8218,2.001
5856.63,2290.52,0.39109,45.9514,841418.3035,85.1854,2556.66,39,42.6898,9.502
9604.43,2800.07,0.29153,74.6886,1356682.386,116.545,3936.24,38,33.7705,16.489
8701.13,3483.86,0.40039,38.5302,1154738.705,120.883,3898.68,85,38.2897,16.861
6537.28,1928.44,0.29499,55.3075,888944.6155,90.0879,2429.71,25,41.5172,7.709
12310.4,4958.98,0.40282,102.735,1729155.359,169.894,4191.26,67,32.9828,11.196
5578.33,1116.13,0.20008,57.6882,775580.7078,74.8081,2649.52,24,40.7863,1.259
7185.81,2657.96,0.36989,63,1046311.802,99.356,3242.14,28,38.8903,1.308
14851.9,3486,0.23471,212.809,2053400.605,244.054,5101.51,148,25.3752,4.019
16114.6,4112.86,0.25522,163.922,2300850.113,214.214,4927.93,43,27.1584,2.66
12436.1,4176.39,0.33582,164.887,1725674.233,188.556,4862.49,61,28.4846,4.696
5730.81,1967.46,0.34331,68.4013,797603.6883,79.4927,3693.36,74,38.6164,3.58
14351.5,4600.87,0.32058,158.776,2055434.436,217.106,4726.06,64,28.5601,4.225
12782.9,3673.28,0.28735,155.657,1796812.118,190.74,4745.77,78,29.0838,2.408
9290.34,2899.14,0.31205,69.1241,1302337.746,138.459,4334.85,7,33.154,7.633
10938.6,3623.23,0.33123,102.004,1522320.966,150.814,4601.06,120,31.1182,16.306
8084.92,2211.55,0.27354,90.7685,1074229.743,135.242,3828.57,34,30.6645,5.204
7326.62,2586.71,0.35305,67.9097,973304.9044,107.539,3092.22,40,39.5324,16.475
7863.06,2003.24,0.25476,84.5573,1101691.549,125.65,3129.74,4,36.9864,0.647
7092.65,2480.66,0.34975,61.0407,960828.1648,104.731,2767.93,32,40.1347,18.984
9870.54,2678.82,0.27139,121.933,1379853.77,150.736,4313.61,68,32.9661,4.635
7524.91,1907.53,0.25349,68.8851,1087785.659,98.5949,3114.16,20,37.5996,2.395
8184.24,3051.84,0.37289,81.6815,1111115.692,110.582,3623.31,28,36.3253,11.376
12131.3,4823.71,0.39762,99.396,1686541.055,180.92,4094.79,47,33.3562,18.242
5197.92,2137.67,0.41125,33.2291,734409.5982,70.5348,1653.3,39,44.9336,15.928
7100.26,2144.7,0.30205,57.2757,961820.361,100.955,2913.93,15,38.6264,5.652
16970.3,5587.31,0.32924,206.693,2229253.28,269.656,6137,246,21.934,2.351
5495.29,1780.71,0.32404,67.466,754891.2887,79.4929,3006,31,40.4661,1.852
21350.9,6977.62,0.3268,259.555,2973844.447,331.927,5545.56,139,23.3018,4.105
8559.01,2014.21,0.23533,59.3272,1216662.298,91.0821,3189.03,27,38.5358,8.413
6060.88,1540.7,0.2542,70.8151,816576.0362,91.1852,3185.82,46,39.131,12.228
11222.3,3670.91,0.3271,126.764,1541143.782,164.489,4898.56,70,29.051,3.317
14281,4251.36,0.29769,175.349,2015506.683,230.894,4504.94,25,30.0785,2.803
3881.88,1235.68,0.31831,34.6864,527278.5092,49.785,1364.94,34,44.6544,11.404
8133.47,2539.33,0.3122,57.8653,1176948.574,99.793,2947.52,11,38.2708,12.661
8582.61,2140.11,0.24935,96.0488,1165650.302,97.7347,4002.35,14,36.7452,6.974
7206.33,2290.14,0.31779,50.3814,1006527.85,93.7626,3899.96,34,37.509,11.533
